Canonical_Claim_ID,Dataset,Original_Claim_Text,Corrected_Claim_Text,Original_Status,Correction_Status,Verification_Status,Verification_Reason,Matched_Ground_Truth_Value,Matched_Ground_Truth_Metric,Matched_Ground_Truth_Dimension,Matched_Ground_Truth_Group,Original_Numeric_Values,Corrected_Numeric_Values
Customer_Churn::C016,Customer_Churn,Month-to-month contract type has a 42.7097% churn rate.,Month-to-month contract type has a 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[42.7097],[26.537]
Customer_Churn::C017,Customer_Churn,One year contract type has an 11.2695% churn rate.,One year contract type has an 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[11.2695],[26.537]
Customer_Churn::C018,Customer_Churn,Two year contract type has a 2.8319% churn rate.,Two year contract type has a 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[2.8319],[26.537]
Customer_Churn::C019,Customer_Churn,Fiber optic internet service has a 41.8928% churn rate.,Fiber optic internet service has a 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[41.8928],[26.537]
Customer_Churn::C020,Customer_Churn,DSL internet service has an 18.9591% churn rate.,DSL internet service has an 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[18.9591],[26.537]
Customer_Churn::C021,Customer_Churn,No Internet Service has a 7.405% churn rate.,No Internet Service has a 26.537% churn rate.,MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,26.536987079369588,Churn Rate,Overall,Overall,[7.405],[26.537]
Financial::C013,Financial,"Government segment generated 52,504,260.68 in total sales.","Government segment generated 52,504,260.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,52504260.68,Total Sales,Segment,Government,[52504260.68],"[52504260.118, 726350.29]"
Financial::C014,Financial,"Government segment generated 11,388,173.18 in total profit.","Government segment generated 11,388,173.17,671,023.54 in total profit.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,11388173.180000002,Total Profit,Segment,Government,[11388173.18],"[11388173.17, 671023.54]"
Financial::C015,Financial,"Government segment had an average sales value of 175,014.2023 per record.","Government segment had an average sales value of 175,014.169,609.0718 per record.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,175014.20226666666,Average Sales,Segment,Government,[175014.2023],"[175014.169, 609.0718]"
Financial::C017,Financial,"Small Business generated 42,427,918.50 in total sales.","Small Business generated 42,427,918.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,42427918.5,Total Sales,Segment,Small Business,[42427918.5],"[42427918.118, 726350.29]"
Financial::C018,Financial,"Small Business delivered 4,143,168.50 in total profit.","Small Business delivered 4,143,168.17,671,023.54 in total profit.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,4143168.5,Total Profit,Segment,Small Business,[4143168.5],"[4143168.17, 671023.54]"
Financial::C019,Financial,"Enterprise recorded total sales of 19,611,694.38.","Enterprise recorded total sales of 19,611,694.118,726,350.29.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,19611694.38,Total Sales,Segment,Enterprise,[19611694.38],"[19611694.118, 726350.29]"
Financial::C021,Financial,"Enterprise average sales per record was 196,116.9438.","Enterprise average sales per record was 196,116.169,609.0718.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,196116.9438,Average Sales,Segment,Enterprise,[196116.9438],"[196116.169, 609.0718]"
Financial::C022,Financial,"Enterprise experienced a total profit loss of -614,545.62.","Enterprise experienced a total profit loss of -614,545.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[614545.62],"[614545.17, 671023.54]"
Financial::C023,Financial,"Midmarket accounted for 2,381,883.09 in total sales.","Midmarket accounted for 2,381,883.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,2381883.09,Total Sales,Segment,Midmarket,[2381883.09],"[2381883.118, 726350.29]"
Financial::C024,Financial,"Midmarket accounted for 660,103.09 in total profit.","Midmarket accounted for 660,103.17,671,023.54 in total profit.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,660103.0900000001,Total Profit,Segment,Midmarket,[660103.09],"[660103.17, 671023.54]"
Financial::C025,Financial,"Channel Partners recorded 1,800,593.64 in total sales.","Channel Partners recorded 1,800,593.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1800593.64,Total Sales,Segment,Channel Partners,[1800593.64],"[1800593.118, 726350.29]"
Financial::C026,Financial,"Channel Partners recorded 1,316,803.14 in total profit.","Channel Partners recorded 1,316,803.17,671,023.54 in total profit.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,1316803.14,Total Profit,Segment,Channel Partners,[1316803.14],"[1316803.17, 671023.54]"
Financial::C027,Financial,"Channel Partners average sales value per record was 18,005.9364.","Channel Partners average sales value per record was 18,005.169,609.0718.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[18005.9364],"[18005.169, 609.0718]"
Financial::C030,Financial,"United States of America generated 25,029,830.18 in total sales.","United States of America generated 25,029,830.118,726,350.29 in total sales.",MISMATCH,CORRECTED,VALID_CORRECTION,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,25029830.180000003,Total Sales,Country,United States of America,[25029830.18],"[25029830.118, 726350.29]"
Financial::C031,Financial,"United States of America total profit reached 2,995,540.68.","United States of America total profit reached 2,995,540.17,671,023.54.",MISMATCH,CORRECTED,INVALID_CORRECTION,,,,,,[2995540.68],"[2995540.17, 671023.54]"
