Canonical_Claim_ID,Dataset,Claim_Type,Baseline_Status,MAVA_Status,Validation_Transition,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Correction_Verification
Customer_Churn::C001,Customer_Churn,NUMERIC,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,"The dataset comprises 7,043 total customer records.","The dataset comprises 7,043 total customer records.",UNCHANGED,No verified correction applied,
Customer_Churn::C002,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"1,869 customers have churned.","1,869 customers have churned.",UNCHANGED,No verified correction applied,
Customer_Churn::C003,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,"5,174 customers remain non-churned.","5,174 customers remain non-churned.",UNCHANGED,No verified correction applied,
Customer_Churn::C004,Customer_Churn,PERCENTAGE,MATCH,MATCH,MATCH_TO_MATCH,The overall churn rate is 26.537%.,The overall churn rate is 26.537%.,UNCHANGED,No verified correction applied,
Customer_Churn::C005,Customer_Churn,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,The average tenure across the full customer base is 32.3711.,The average tenure across the full customer base is 32.3711.,UNCHANGED,No verified correction applied,
Customer_Churn::C006,Customer_Churn,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,The median tenure across the full customer base is 29.0.,The median tenure across the full customer base is 29.0.,UNCHANGED,No verified correction applied,
Customer_Churn::C007,Customer_Churn,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,The average monthly charge across the full customer base is 64.7617.,The average monthly charge across the full customer base is 64.7617.,UNCHANGED,No verified correction applied,
Customer_Churn::C008,Customer_Churn,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,The median monthly charge across the full customer base is 70.35.,The median monthly charge across the full customer base is 70.35.,UNCHANGED,No verified correction applied,
Customer_Churn::C009,Customer_Churn,NUMERIC,MATCH,MATCH,MATCH_TO_MATCH,"Average total charges across the full customer base stand at 2,283.3004.","Average total charges across the full customer base stand at 2,283.3004.",UNCHANGED,No verified correction applied,
Customer_Churn::C010,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,Churned customers have an average tenure of 17.9791.,Churned customers have an average tenure of 17.9791.,UNCHANGED,No verified correction applied,
Customer_Churn::C011,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,Non-churned customers have an average tenure of 37.57.,Non-churned customers have an average tenure of 37.57.,UNCHANGED,No verified correction applied,
Customer_Churn::C012,Customer_Churn,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Churned customers have a lower average tenure compared to non-churned customers.,Churned customers have a lower average tenure compared to non-churned customers.,UNCHANGED,No verified correction applied,
Customer_Churn::C013,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,Churned customers average monthly charges of 74.4413.,Churned customers average monthly charges of 74.4413.,UNCHANGED,No verified correction applied,
Customer_Churn::C014,Customer_Churn,NUMERIC,MISMATCH,MISMATCH,MISMATCH_TO_MISMATCH,Non-churned customers average monthly charges of 61.2651.,Non-churned customers average monthly charges of 61.2651.,UNCHANGED,No verified correction applied,
Customer_Churn::C015,Customer_Churn,COMPARISON,UNVERIFIED,UNVERIFIED,UNVERIFIED_TO_UNVERIFIED,Churned customers average higher monthly charges than non-churned customers.,Churned customers average higher monthly charges than non-churned customers.,UNCHANGED,No verified correction applied,
Customer_Churn::C016,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,Month-to-month contract type has a 42.7097% churn rate.,Month-to-month contract type has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Customer_Churn::C017,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,One year contract type has an 11.2695% churn rate.,One year contract type has an 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Customer_Churn::C018,Customer_Churn,PERCENTAGE,MISMATCH,MATCH,MISMATCH_TO_MATCH,Two year contract type has a 2.8319% churn rate.,Two year contract type has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
