Canonical_Claim_ID,Dataset,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Validation_Status,Baseline_Status,MAVA_Status,Validation_Change,Claim_Type,Validation_Transition,Correction_Verification
Customer_Churn::C002,Customer_Churn,"1,869 customers have churned.","1,869 customers have churned.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Customer_Churn::C003,Customer_Churn,"5,174 customers remain non-churned.","5,174 customers remain non-churned.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Customer_Churn::C010,Customer_Churn,Churned customers have an average tenure of 17.9791.,Churned customers have an average tenure of 17.9791.,UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Customer_Churn::C011,Customer_Churn,Non-churned customers have an average tenure of 37.57.,Non-churned customers have an average tenure of 37.57.,UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Customer_Churn::C013,Customer_Churn,Churned customers average monthly charges of 74.4413.,Churned customers average monthly charges of 74.4413.,UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Customer_Churn::C014,Customer_Churn,Non-churned customers average monthly charges of 61.2651.,Non-churned customers average monthly charges of 61.2651.,UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,
Financial::C022,Financial,"Enterprise experienced a total profit loss of -614,545.62.","Enterprise experienced a total profit loss of -614,545.62.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C027,Financial,"Channel Partners average sales value per record was 18,005.9364.","Channel Partners average sales value per record was 18,005.9364.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C031,Financial,"United States of America total profit reached 2,995,540.68.","United States of America total profit reached 2,995,540.68.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C033,Financial,"Canada recorded 3,529,228.89 in total profit.","Canada recorded 3,529,228.89 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C036,Financial,"France total profit was 3,781,020.79.","France total profit was 3,781,020.79.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C038,Financial,"Germany contributed 3,680,388.82 in total profit.","Germany contributed 3,680,388.82 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C040,Financial,"Mexico recorded total profit of 2,907,523.11.","Mexico recorded total profit of 2,907,523.11.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C044,Financial,"Paseo total profit reached 4,797,437.96.","Paseo total profit reached 4,797,437.96.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C046,Financial,"VTT recorded 3,034,608.02 in total profit.","VTT recorded 3,034,608.02 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C048,Financial,"Velo achieved 2,305,992.47 in total profit.","Velo achieved 2,305,992.47 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C050,Financial,"Amarilla delivered 2,814,104.07 in total profit.","Amarilla delivered 2,814,104.07 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C052,Financial,"Montana generated 2,114,754.88 in total profit.","Montana generated 2,114,754.88 in total profit.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
Financial::C054,Financial,"Carretera recorded total profit of 1,826,804.89.","Carretera recorded total profit of 1,826,804.89.",UNCHANGED,No verified correction applied,MISMATCH,MISMATCH,MISMATCH,NO_CHANGE,NUMERIC,MISMATCH_TO_MISMATCH,INVALID_CORRECTION
