Canonical_Claim_ID,Dataset,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Validation_Status,Baseline_Status,MAVA_Status,Validation_Change,Claim_Type,Validation_Transition,Correction_Verification
Customer_Churn::C016,Customer_Churn,Month-to-month contract type has a 42.7097% churn rate.,Month-to-month contract type has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Customer_Churn::C017,Customer_Churn,One year contract type has an 11.2695% churn rate.,One year contract type has an 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Customer_Churn::C018,Customer_Churn,Two year contract type has a 2.8319% churn rate.,Two year contract type has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Customer_Churn::C019,Customer_Churn,Fiber optic internet service has a 41.8928% churn rate.,Fiber optic internet service has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Customer_Churn::C020,Customer_Churn,DSL internet service has an 18.9591% churn rate.,DSL internet service has an 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Customer_Churn::C021,Customer_Churn,No Internet Service has a 7.405% churn rate.,No Internet Service has a 26.537% churn rate.,VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,PERCENTAGE,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C013,Financial,"Government segment generated 52,504,260.68 in total sales.","Government segment generated 52,504,260.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C014,Financial,"Government segment generated 11,388,173.18 in total profit.","Government segment generated 11,388,173.17,671,023.54 in total profit.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C015,Financial,"Government segment had an average sales value of 175,014.2023 per record.","Government segment had an average sales value of 175,014.169,609.0718 per record.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
Financial::C017,Financial,"Small Business generated 42,427,918.50 in total sales.","Small Business generated 42,427,918.118,726,350.29 in total sales.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,MISMATCH,MISMATCH,MATCH,MISMATCH_TO_MATCH,NUMERIC,MISMATCH_TO_MATCH,VALID_CORRECTION
